organ,as_label,cell_label,mean_cell_count,cell_count
VHFAllenBrain,middle temporal gyrus,L2/3-6 intratelencephalic projecting glutamatergic cortical neuron,8132.25925925925925925926,219571
VHFAllenBrain,middle temporal gyrus,L5 extratelencephalic projecting glutamatergic cortical neuron,32.25925925925925925926,871
VHFAllenBrain,middle temporal gyrus,L6b glutamatergic cortical neuron,189.74074074074074074074,5123
VHFAllenBrain,middle temporal gyrus,astrocyte of the cerebral cortex,712.57692307692307692308,18527
VHFAllenBrain,middle temporal gyrus,caudal ganglionic eminence derived GABAergic cortical interneuron,99.62962962962962962963,2690
VHFAllenBrain,middle temporal gyrus,cerebral cortex endothelial cell,27.14814814814814814815,733
VHFAllenBrain,middle temporal gyrus,chandelier pvalb GABAergic cortical interneuron,134.40740740740740740741,3629
VHFAllenBrain,middle temporal gyrus,corticothalamic-projecting glutamatergic cortical neuron,216.33333333333333333333,5841
VHFAllenBrain,middle temporal gyrus,lamp5 GABAergic cortical interneuron,715.44444444444444444444,19317
VHFAllenBrain,middle temporal gyrus,microglial cell,415.55555555555555555556,11220
VHFAllenBrain,middle temporal gyrus,near-projecting glutamatergic cortical neuron,279.74074074074074074074,7553
VHFAllenBrain,middle temporal gyrus,oligodendrocyte,1197.66666666666666666667,32337
VHFAllenBrain,middle temporal gyrus,oligodendrocyte precursor cell,382.51851851851851851852,10328
VHFAllenBrain,middle temporal gyrus,pvalb GABAergic cortical interneuron,1102.92592592592592592593,29779
VHFAllenBrain,middle temporal gyrus,sncg GABAergic cortical interneuron,264.84615384615384615385,6886
VHFAllenBrain,middle temporal gyrus,sst GABAergic cortical interneuron,700.11111111111111111111,18903
VHFAllenBrain,middle temporal gyrus,vascular leptomeningeal cell,49.84,1246
VHFAllenBrain,middle temporal gyrus,vip GABAergic cortical interneuron,1184.25925925925925925926,31975
VHFColon,descending colon,B,4922,4922
VHFColon,descending colon,CD4+ T cell,4224,4224
VHFColon,descending colon,CD57+ Enterocyte,4,4
VHFColon,descending colon,CD66+ Enterocyte,2189,2189
VHFColon,descending colon,CD7+ Immune,48,48
VHFColon,descending colon,CD8+ T,2219,2219
VHFColon,descending colon,Cycling TA,3785,3785
VHFColon,descending colon,DC,1190,1190
VHFColon,descending colon,Endothelial,3723,3723
VHFColon,descending colon,Enterocyte,9947,9947
VHFColon,descending colon,Goblet,5597,5597
VHFColon,descending colon,ICC,700,700
VHFColon,descending colon,Lymphatic,920,920
VHFColon,descending colon,M1 Macrophage,318,318
VHFColon,descending colon,M2 Macrophage,1717,1717
VHFColon,descending colon,MUC1+ Enterocyte,136,136
VHFColon,descending colon,NK,23,23
VHFColon,descending colon,Nerve,1049,1049
VHFColon,descending colon,Neuroendocrine,526,526
VHFColon,descending colon,Neutrophil,4,4
VHFColon,descending colon,Paneth,0,0
VHFColon,descending colon,Plasma,1686,1686
VHFColon,descending colon,Smooth muscle,2935,2935
VHFColon,descending colon,Stroma,943,943
VHFColon,descending colon,TA,2489,2489
VHFColon,sigmoid colon,B,1,1
VHFColon,sigmoid colon,CD4+ T cell,24,24
VHFColon,sigmoid colon,CD57+ Enterocyte,0,0
VHFColon,sigmoid colon,CD66+ Enterocyte,16,16
VHFColon,sigmoid colon,CD7+ Immune,0,0
VHFColon,sigmoid colon,CD8+ T,16,16
VHFColon,sigmoid colon,Cycling TA,13,13
VHFColon,sigmoid colon,DC,91,91
VHFColon,sigmoid colon,Endothelial,1591,1591
VHFColon,sigmoid colon,Enterocyte,153,153
VHFColon,sigmoid colon,Goblet,41,41
VHFColon,sigmoid colon,ICC,169,169
VHFColon,sigmoid colon,Lymphatic,500,500
VHFColon,sigmoid colon,M1 Macrophage,13,13
VHFColon,sigmoid colon,M2 Macrophage,1155,1155
VHFColon,sigmoid colon,MUC1+ Enterocyte,0,0
VHFColon,sigmoid colon,NK,7,7
VHFColon,sigmoid colon,Nerve,1158,1158
VHFColon,sigmoid colon,Neuroendocrine,2,2
VHFColon,sigmoid colon,Neutrophil,27,27
VHFColon,sigmoid colon,Paneth,0,0
VHFColon,sigmoid colon,Plasma,0,0
VHFColon,sigmoid colon,Smooth muscle,6810,6810
VHFColon,sigmoid colon,Stroma,2390,2390
VHFColon,sigmoid colon,TA,53,53
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,B cell,10.09677419354838709677,313
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD14-positive monocyte,27.84,696
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,"CD14-positive, CD16-positive monocyte",35.20689655172413793103,1021
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,"CD4-positive, alpha-beta cytotoxic T cell",18.82857142857142857143,659
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,"CD8-positive, alpha-beta cytotoxic T cell",15.78787878787878787879,521
VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,"activated CD4-positive, alpha-beta T cell",11.83333333333333333333,284
