rui_location,organ,as_label,as_id,intersection_volume
http://purl.org/ccf/1.5/bf67cdbe-2af0-478e-af80-14e593bdbde1,VHFAllenBrain,middle temporal gyrus,http://purl.obolibrary.org/obo/UBERON_0002771,21669.14
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,VHFHeart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,229312.8
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,VHFHeart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,229312.8
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,VHFHeart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,78714.76
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,VHFHeart,interventricular septum,http://purl.obolibrary.org/obo/UBERON_0002094,65894.53
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,http://purl.org/sig/ont/fma/fma7267,4401.499
http://purl.org/ccf/1.5/16e98d8c-8983-48c2-bb41-7b1cfbbf2e4a,VHFHeart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,229312.8
http://purl.org/ccf/1.5/1995aefd-5289-4652-a7e0-cc66c495649f,VHFHeart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,229312.8
http://purl.org/ccf/1.5/1995aefd-5289-4652-a7e0-cc66c495649f,VHFHeart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,78714.76
http://purl.org/ccf/1.5/1995aefd-5289-4652-a7e0-cc66c495649f,VHFHeart,interventricular septum,http://purl.obolibrary.org/obo/UBERON_0002094,65894.53
http://purl.org/ccf/1.5/1fe61622-ba53-47c9-967e-e764c21b8189,VHFHeart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,78714.76
http://purl.org/ccf/1.5/2156f837-2ab2-4305-8e7f-8084249e91cd,VHFHeart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,229312.8
http://purl.org/ccf/1.5/2816c343-c908-45bf-8964-974b1c54a5b9,VHFHeart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,229312.8
http://purl.org/ccf/1.5/53b083ab-cb70-4096-b385-85590ddc370c,VHFHeart,left cardiac atrium,http://purl.obolibrary.org/obo/UBERON_0002079,18115.97
http://purl.org/ccf/1.5/53b083ab-cb70-4096-b385-85590ddc370c,VHFHeart,aortic valve,http://purl.obolibrary.org/obo/UBERON_0002137,3612.979
http://purl.org/ccf/1.5/9abfed4e-2fde-4d80-a8aa-7439a106d895,VHFHeart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,229312.8
http://purl.org/ccf/1.5/9f2c1d5d-2ad4-4a7a-ad95-622c7328b554,VHFHeart,right cardiac atrium,http://purl.obolibrary.org/obo/UBERON_0002078,33225.9
http://purl.org/ccf/1.5/a04e60c6-693a-4c25-a069-62521783fd15,VHFHeart,right cardiac atrium,http://purl.obolibrary.org/obo/UBERON_0002078,33225.9
http://purl.org/ccf/1.5/32214c14-bf21-4bf6-aea9-58ab721128ab,VHFLargeIntestine,descending colon,http://purl.obolibrary.org/obo/UBERON_0001158,140721.9
http://purl.org/ccf/1.5/3425fa0c-c5cb-4493-b6ba-41520334b13e,VHFLargeIntestine,ascending colon,http://purl.obolibrary.org/obo/UBERON_0001156,46838.66
http://purl.org/ccf/1.5/3425fa0c-c5cb-4493-b6ba-41520334b13e,VHFLargeIntestine,caecum,http://purl.obolibrary.org/obo/UBERON_0001153,31765.15
http://purl.org/ccf/1.5/43e195fb-0f50-4b67-bff1-b74f68290fc6,VHFLargeIntestine,transverse colon,http://purl.obolibrary.org/obo/UBERON_0001157,171672.2
http://purl.org/ccf/1.5/48f6aab3-8d58-4675-806c-3fd7d5b7336f,VHFLargeIntestine,ascending colon,http://purl.obolibrary.org/obo/UBERON_0001156,46838.66
http://purl.org/ccf/1.5/48f6aab3-8d58-4675-806c-3fd7d5b7336f,VHFLargeIntestine,caecum,http://purl.obolibrary.org/obo/UBERON_0001153,31765.15
http://purl.org/ccf/1.5/8b652088-8c73-466d-b59c-3fbb8c01e399,VHFLargeIntestine,sigmoid colon,http://purl.obolibrary.org/obo/UBERON_0001159,30343.71
http://purl.org/ccf/1.5/aab5a316-7fbc-4a57-8b3a-3fc1958c5292,VHFLargeIntestine,descending colon,http://purl.obolibrary.org/obo/UBERON_0001158,140721.9
http://purl.org/ccf/1.5/cd304e60-3de4-4dd9-b289-ce1a0efae4d7,VHFLargeIntestine,sigmoid colon,http://purl.obolibrary.org/obo/UBERON_0001159,30343.71
http://purl.org/ccf/1.5/db4f3eca-e9f8-4f9c-88a1-795a20dd0f84,VHFLargeIntestine,transverse colon,http://purl.obolibrary.org/obo/UBERON_0001157,171672.2
http://purl.org/ccf/1.5/26edd761-8b50-453c-9b03-2337806c9e3a,VHFLeftKidney,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,2673.251
http://purl.org/ccf/1.5/52c4948d-bdc2-4201-a991-61a2c0a565c0,VHFLeftKidney,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,2149.598
http://purl.org/ccf/1.5/61d9f366-c050-4c28-995f-32ab920a7ca8,VHFLeftKidney,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,8149.503
http://purl.org/ccf/1.5/8d126897-60f6-433e-a56b-cbe730475742,VHFLeftKidney,outer cortex of kidney,http://purl.obolibrary.org/obo/UBERON_0002189,132321.3
http://purl.org/ccf/1.5/8f99a469-7d51-46dc-919d-2e002eeae868,VHFLeftKidney,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,2480.148
http://purl.org/ccf/1.5/bd004aeb-6e60-4d5b-8d40-cfdd55b8b6fe,VHFLeftKidney,outer cortex of kidney,http://purl.obolibrary.org/obo/UBERON_0002189,132321.3
http://purl.org/ccf/1.5/bd004aeb-6e60-4d5b-8d40-cfdd55b8b6fe,VHFLeftKidney,renal column,http://purl.obolibrary.org/obo/UBERON_0001284,72301.89
http://purl.org/ccf/1.5/bd004aeb-6e60-4d5b-8d40-cfdd55b8b6fe,VHFLeftKidney,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,8149.503
http://purl.org/ccf/1.5/fd380a0c-2915-4d73-b3f4-d161badbaccb,VHFLeftKidney,outer cortex of kidney,http://purl.obolibrary.org/obo/UBERON_0002189,132321.3
http://purl.org/ccf/1.5/fd380a0c-2915-4d73-b3f4-d161badbaccb,VHFLeftKidney,renal column,http://purl.obolibrary.org/obo/UBERON_0001284,72301.89
http://purl.org/ccf/1.5/fd380a0c-2915-4d73-b3f4-d161badbaccb,VHFLeftKidney,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,2896.476
http://purl.org/ccf/1.5/5764d42e-95e4-4e5a-b36e-ca498354906d,VHFLeftUreter,left ureter,http://purl.obolibrary.org/obo/UBERON_0001223,668.666
http://purl.org/ccf/1.5/c5e652ed-7e40-41de-bfc0-a73f05a0c66a,VHFLeftUreter,left ureter,http://purl.obolibrary.org/obo/UBERON_0001223,668.666
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,VHFLung,Right Superior Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7366,234868.7
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,VHFLung,Right Posterior Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7339,161360.7
http://purl.org/ccf/1.5/09b9e49f-dd9c-4f9f-a7dc-258ac0d08530,VHFLung,Right anterior basal bronchopulmonary segment,http://purl.org/sig/ont/fma/fma7364,185551.3
http://purl.org/ccf/1.5/09b9e49f-dd9c-4f9f-a7dc-258ac0d08530,VHFLung,Right Lateral Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7361,83916.23
http://purl.org/ccf/1.5/0c1510fa-83b7-43aa-aa70-d261835ce604_LungMap_Female_AllenWangLungMap_FEMALE_tissueblock_RUI,VHFLung,Right Medial Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7360,149921.4
http://purl.org/ccf/1.5/0c1510fa-83b7-43aa-aa70-d261835ce604_LungMap_Female_AllenWangLungMap_FEMALE_tissueblock_RUI,VHFLung,Right Lateral Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7361,83916.23
http://purl.org/ccf/1.5/0c1510fa-83b7-43aa-aa70-d261835ce604_LungMap_Female_AllenWangLungMap_FEMALE_tissueblock_RUI,VHFLung,Lateral segmental bronchus,http://purl.org/sig/ont/fma/fma7402,588.9755
http://purl.org/ccf/1.5/0cd47185-8e8a-4f56-a167-bf93de928553,VHFLung,Right anterior basal bronchopulmonary segment,http://purl.org/sig/ont/fma/fma7364,185551.3
http://purl.org/ccf/1.5/0cd47185-8e8a-4f56-a167-bf93de928553,VHFLung,Right Lateral Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7361,83916.23
