as_label_organ,tool,sex,dataset
Set of lactiferous glands in left breast - Interlobar adipose tissue of left mammary gland,popv,Female,2
Set of lactiferous glands in left breast - main lactiferous duct,popv,Female,2
Set of lactiferous glands in left breast - mammary lobe,popv,Female,2
Set of lactiferous glands in right breast - Interlobar adipose tissue of right mammary gland,popv,Female,3
Set of lactiferous glands in right breast - main lactiferous duct,popv,Female,3
heart - Posteromedial head of posterior papillary muscle of left ventricle,azimuth,Female,6
heart - Posteromedial head of posterior papillary muscle of left ventricle,celltypist,Female,6
heart - heart left ventricle,azimuth,Female,28
heart - heart left ventricle,azimuth,Male,37
heart - heart left ventricle,celltypist,Female,28
heart - heart left ventricle,celltypist,Male,37
heart - heart right ventricle,azimuth,Female,14
heart - heart right ventricle,azimuth,Male,16
heart - heart right ventricle,celltypist,Female,14
heart - heart right ventricle,celltypist,Male,16
heart - interventricular septum,azimuth,Female,7
heart - interventricular septum,azimuth,Male,8
heart - interventricular septum,celltypist,Female,7
heart - interventricular septum,celltypist,Male,8
heart - left cardiac atrium,azimuth,Female,7
heart - left cardiac atrium,azimuth,Male,7
heart - left cardiac atrium,celltypist,Female,7
heart - left cardiac atrium,celltypist,Male,7
heart - right cardiac atrium,azimuth,Female,9
heart - right cardiac atrium,azimuth,Male,8
heart - right cardiac atrium,celltypist,Female,9
heart - right cardiac atrium,celltypist,Male,8
large intestine - ascending colon,celltypist,Female,6
large intestine - ascending colon,celltypist,Male,8
large intestine - ascending colon,popv,Female,6
large intestine - ascending colon,popv,Male,8
large intestine - caecum,celltypist,Female,3
large intestine - caecum,celltypist,Male,1
large intestine - caecum,popv,Female,3
large intestine - caecum,popv,Male,1
large intestine - descending colon,celltypist,Female,4
large intestine - descending colon,celltypist,Male,7
large intestine - descending colon,popv,Female,4
large intestine - descending colon,popv,Male,7
large intestine - hepatic flexure of colon,celltypist,Female,3
large intestine - hepatic flexure of colon,celltypist,Male,1
large intestine - hepatic flexure of colon,popv,Female,3
large intestine - hepatic flexure of colon,popv,Male,1
large intestine - rectum,celltypist,Female,3
large intestine - rectum,popv,Female,3
large intestine - sigmoid colon,celltypist,Female,7
large intestine - sigmoid colon,celltypist,Male,8
large intestine - sigmoid colon,popv,Female,7
large intestine - sigmoid colon,popv,Male,8
large intestine - transverse colon,celltypist,Female,3
large intestine - transverse colon,celltypist,Male,5
large intestine - transverse colon,popv,Female,3
large intestine - transverse colon,popv,Male,5
left kidney - hilum of kidney,azimuth,Male,2
left kidney - kidney capsule,azimuth,Female,3
left kidney - kidney capsule,azimuth,Male,2
left kidney - outer cortex of kidney,azimuth,Female,17
left kidney - outer cortex of kidney,azimuth,Male,19
left kidney - renal column,azimuth,Female,10
left kidney - renal column,azimuth,Male,2
left kidney - renal papilla,azimuth,Female,5
left kidney - renal pyramid,azimuth,Female,37
left kidney - renal pyramid,azimuth,Male,31
left ureter - Left ureter,azimuth,Female,4
left ureter - Left ureter,azimuth,Male,8
liver - capsule of the liver,celltypist,Female,1
liver - capsule of the liver,celltypist,Male,1
liver - capsule of the liver,popv,Female,1
liver - capsule of the liver,popv,Male,1
liver - diaphragmatic surface of liver,celltypist,Female,1
liver - diaphragmatic surface of liver,celltypist,Male,1
