"sex","tool","modality","organ","organId","as","as_id","cell_id","cell_label","cell_count","percentage","asct_relation_in_asctb_table","indirect_asct_relation_in_asctb_table","annotation_label","annotation_label_id","cell_label2"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Renal Column","UBERON:0001284","CL:1000452","Parietal Epithelial",6.816,0.000479501318628626,"false","true","Parietal Epithelial","AZ:0000059","parietal epithelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:1000717","Outer Medullary Collecting Duct Intercalated Type A",10.062,0.00704225352112676,"false","true","Outer Medullary Collecting Duct Intercalated Type A","AZ:0000056","kidney outer medulla collecting duct intercalated cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:1000717","Outer Medullary Collecting Duct Intercalated Type A",10.062,0.00704225352112676,"false","true","Outer Medullary Collecting Duct Intercalated Type A","AZ:0000056","kidney outer medulla collecting duct intercalated cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Renal Column","UBERON:0001284","CL:1000452","Parietal Epithelial",6.816,0.000479501318628626,"false","true","Parietal Epithelial","AZ:0000059","parietal epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Outer Cortex of Kidney","UBERON:0002189","CL:0000653","Podocyte",3226.407,0.00666714318535093,"true","true","Podocyte","AZ:0000063","podocyte"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Renal Column","UBERON:0001284","CL:0000653","Podocyte",17.04,0.00119875329657157,"true","true","Podocyte","AZ:0000063","podocyte"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Outer Cortex of Kidney","UBERON:0002189","CL:0000653","Podocyte",3226.407,0.00666714318535093,"true","true","Podocyte","AZ:0000063","podocyte"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Renal Column","UBERON:0001284","CL:0000653","Podocyte",17.04,0.00119875329657157,"true","true","Podocyte","AZ:0000063","podocyte"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:4030012","Descending Thin Limb Type 1",715.202,0.0648525533445217,"false","true","Descending Thin Limb Type 1","AZ:0000035","kidney loop of Henle short descending thin limb epithelial cell"
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:4030012","Descending Thin Limb Type 1",715.202,0.0648525533445217,"false","true","Descending Thin Limb Type 1","AZ:0000035","kidney loop of Henle short descending thin limb epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Kidney Capsule","UBERON:0002015","CL:1000412","Afferent / Efferent Arteriole Endothelial",4.826,0.0000972573194093204,"false","true",NA,NA,NA
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004538","Hilum of Kidney","UBERON:0008716","CL:4030013","Descending Thin Limb Type 2",441.548,0.0400383601054903,"false","true","Descending Thin Limb Type 2","AZ:0000036","kidney loop of Henle long descending thin limb outer medulla epithelial cell"
"Female","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Kidney Capsule","UBERON:0002015","CL:1000412","Afferent / Efferent Arteriole Endothelial",4.826,0.0000972573194093204,"false","true",NA,NA,NA
"Male","Azimuth","sc_transcriptomics","Kidney","UBERON:0004539","Hilum of Kidney","UBERON:0008716","CL:4030013","Descending Thin Limb Type 2",441.548,0.0400383601054903,"false","true","Descending Thin Limb Type 2","AZ:0000036","kidney loop of Henle long descending thin limb outer medulla epithelial cell"
