"organ_label","uberon_id","as","cell_type","datasets","cell_count","mean_cell_count","total_cell_count","percentage","tool"
"Large Intestine","UBERON:0001156","ascending","B",8,2706,338.25,209839,0.0129,"Spatial"
"Large Intestine","UBERON:0001156","ascending","CD4+ T cell",8,9640,1205,209839,0.04594,"Spatial"
"Large Intestine","UBERON:0001156","ascending","CD57+ Enterocyte",8,66,8.25,209839,0.00031,"Spatial"
"Large Intestine","UBERON:0001156","ascending","CD66+ Enterocyte",8,9872,1234,209839,0.04705,"Spatial"
"Large Intestine","UBERON:0001156","ascending","CD7+ Immune",8,284,35.5,209839,0.00135,"Spatial"
"Large Intestine","UBERON:0001156","ascending","CD8+ T",8,9649,1206.125,209839,0.04598,"Spatial"
"Large Intestine","UBERON:0001156","ascending","Cycling TA",8,7150,893.75,209839,0.03407,"Spatial"
"Large Intestine","UBERON:0001156","ascending","DC",8,3850,481.25,209839,0.01835,"Spatial"
"Large Intestine","UBERON:0001156","ascending","Endothelial",8,14567,1820.875,209839,0.06942,"Spatial"
"Large Intestine","UBERON:0001156","ascending","Enterocyte",8,33001,4125.125,209839,0.15727,"Spatial"
"Large Intestine","UBERON:0001156","ascending","Goblet",8,13469,1683.625,209839,0.06419,"Spatial"
"Large Intestine","UBERON:0001156","ascending","ICC",8,3097,387.125,209839,0.01476,"Spatial"
"Large Intestine","UBERON:0001156","ascending","Lymphatic",8,6395,799.375,209839,0.03048,"Spatial"
"Large Intestine","UBERON:0001156","ascending","M1 Macrophage",8,1917,239.625,209839,0.00914,"Spatial"
"Large Intestine","UBERON:0001156","ascending","M2 Macrophage",8,9141,1142.625,209839,0.04356,"Spatial"
"Large Intestine","UBERON:0001156","ascending","MUC1+ Enterocyte",8,2443,305.375,209839,0.01164,"Spatial"
"Large Intestine","UBERON:0001156","ascending","Nerve",8,6027,753.375,209839,0.02872,"Spatial"
"Large Intestine","UBERON:0001156","ascending","Neuroendocrine",8,961,120.125,209839,0.00458,"Spatial"
"Large Intestine","UBERON:0001156","ascending","Neutrophil",8,1756,219.5,209839,0.00837,"Spatial"
"Large Intestine","UBERON:0001156","ascending","NK",8,447,55.875,209839,0.00213,"Spatial"
"Large Intestine","UBERON:0001156","ascending","Paneth",8,20,2.5,209839,0.0001,"Spatial"
"Large Intestine","UBERON:0001156","ascending","Plasma",8,12291,1536.375,209839,0.05857,"Spatial"
"Large Intestine","UBERON:0001156","ascending","Smooth muscle",8,36694,4586.75,209839,0.17487,"Spatial"
"Large Intestine","UBERON:0001156","ascending","Stroma",8,18442,2305.25,209839,0.08789,"Spatial"
"Large Intestine","UBERON:0001156","ascending","TA",8,5954,744.25,209839,0.02837,"Spatial"
"Large Intestine","UBERON:0001157","transverse","B",8,1524,190.5,229737,0.00663,"Spatial"
"Large Intestine","UBERON:0001157","transverse","CD4+ T cell",8,8351,1043.875,229737,0.03635,"Spatial"
"Large Intestine","UBERON:0001157","transverse","CD57+ Enterocyte",8,44,5.5,229737,0.00019,"Spatial"
"Large Intestine","UBERON:0001157","transverse","CD66+ Enterocyte",8,10803,1350.375,229737,0.04702,"Spatial"
"Large Intestine","UBERON:0001157","transverse","CD7+ Immune",8,248,31,229737,0.00108,"Spatial"
"Large Intestine","UBERON:0001157","transverse","CD8+ T",8,8037,1004.625,229737,0.03498,"Spatial"
"Large Intestine","UBERON:0001157","transverse","Cycling TA",8,9112,1139,229737,0.03966,"Spatial"
"Large Intestine","UBERON:0001157","transverse","DC",8,3326,415.75,229737,0.01448,"Spatial"
"Large Intestine","UBERON:0001157","transverse","Endothelial",8,17588,2198.5,229737,0.07656,"Spatial"
"Large Intestine","UBERON:0001157","transverse","Enterocyte",8,30719,3839.875,229737,0.13371,"Spatial"
"Large Intestine","UBERON:0001157","transverse","Goblet",8,16092,2011.5,229737,0.07005,"Spatial"
"Large Intestine","UBERON:0001157","transverse","ICC",8,3811,476.375,229737,0.01659,"Spatial"
"Large Intestine","UBERON:0001157","transverse","Lymphatic",8,6963,870.375,229737,0.03031,"Spatial"
"Large Intestine","UBERON:0001157","transverse","M1 Macrophage",8,2669,333.625,229737,0.01162,"Spatial"
"Large Intestine","UBERON:0001157","transverse","M2 Macrophage",8,12988,1623.5,229737,0.05653,"Spatial"
"Large Intestine","UBERON:0001157","transverse","MUC1+ Enterocyte",8,1423,177.875,229737,0.00619,"Spatial"
"Large Intestine","UBERON:0001157","transverse","Nerve",8,8508,1063.5,229737,0.03703,"Spatial"
"Large Intestine","UBERON:0001157","transverse","Neuroendocrine",8,827,103.375,229737,0.0036,"Spatial"
"Large Intestine","UBERON:0001157","transverse","Neutrophil",8,951,118.875,229737,0.00414,"Spatial"
"Large Intestine","UBERON:0001157","transverse","NK",8,304,38,229737,0.00132,"Spatial"
"Large Intestine","UBERON:0001157","transverse","Paneth",8,344,43,229737,0.0015,"Spatial"
"Large Intestine","UBERON:0001157","transverse","Plasma",8,12342,1542.75,229737,0.05372,"Spatial"
"Large Intestine","UBERON:0001157","transverse","Smooth muscle",8,41363,5170.375,229737,0.18005,"Spatial"
"Large Intestine","UBERON:0001157","transverse","Stroma",8,26605,3325.625,229737,0.11581,"Spatial"
"Large Intestine","UBERON:0001157","transverse","TA",8,4795,599.375,229737,0.02087,"Spatial"
"Large Intestine","UBERON:0001158","descending","B",8,6356,794.5,329603,0.01928,"Spatial"
"Large Intestine","UBERON:0001158","descending","CD4+ T cell",8,13864,1733,329603,0.04206,"Spatial"
"Large Intestine","UBERON:0001158","descending","CD57+ Enterocyte",8,45,5.625,329603,0.00014,"Spatial"
"Large Intestine","UBERON:0001158","descending","CD66+ Enterocyte",8,9159,1144.875,329603,0.02779,"Spatial"
"Large Intestine","UBERON:0001158","descending","CD7+ Immune",8,670,83.75,329603,0.00203,"Spatial"
"Large Intestine","UBERON:0001158","descending","CD8+ T",8,11654,1456.75,329603,0.03536,"Spatial"
"Large Intestine","UBERON:0001158","descending","Cycling TA",8,16935,2116.875,329603,0.05138,"Spatial"
"Large Intestine","UBERON:0001158","descending","DC",8,4823,602.875,329603,0.01463,"Spatial"
"Large Intestine","UBERON:0001158","descending","Endothelial",8,19991,2498.875,329603,0.06065,"Spatial"
"Large Intestine","UBERON:0001158","descending","Enterocyte",8,48313,6039.125,329603,0.14658,"Spatial"
"Large Intestine","UBERON:0001158","descending","Goblet",8,30197,3774.625,329603,0.09162,"Spatial"
"Large Intestine","UBERON:0001158","descending","ICC",8,4454,556.75,329603,0.01351,"Spatial"
