"id","id_lab","label","tool","type","records"
0,"UBERON:0000059 Large Intestine","Large Intestine","CellTypist","Organ",1308
1,"UBERON:0000948 Heart","Heart","CellTypist","Organ",623
2,"UBERON:0001004 Lung","Lung","CellTypist","Organ",347
3,"UBERON:0002108 Small Intestine","Small Intestine","CellTypist","Organ",1526
4,"FMA:14926 Superior part of Duodenum","Superior part of Duodenum","CellTypist","Anatomical Structure",124
5,"FMA:14928 Descending part of Duodenum","Descending part of Duodenum","CellTypist","Anatomical Structure",254
6,"FMA:14929 Horizontal part of Duodenum","Horizontal part of Duodenum","CellTypist","Anatomical Structure",259
7,"FMA:14930 Ascending part of Duodenum","Ascending part of Duodenum","CellTypist","Anatomical Structure",259
8,"FMA:14966 Distal part of Ileum","Distal part of Ileum","CellTypist","Anatomical Structure",261
9,"FMA:7267 Posteromedial Head of Posterior Papillary Muscle Of Left Ventricle","Posteromedial Head of Posterior Papillary Muscle Of Left Ventricle","CellTypist","Anatomical Structure",39
10,"FMA:7360 Medial Bronchopulmonary Segment","Medial Bronchopulmonary Segment","CellTypist","Anatomical Structure",99
11,"FMA:7361 Lateral Bronchopulmonary Segment","Lateral Bronchopulmonary Segment","CellTypist","Anatomical Structure",99
12,"FMA:7385 Left Apical Bronchopulmonary Segment","Left Apical Bronchopulmonary Segment","CellTypist","Anatomical Structure",50
13,"FMA:7402 Lateral Segmental Bronchus","Lateral Segmental Bronchus","CellTypist","Anatomical Structure",99
14,"UBERON:0001052 Rectum","Rectum","CellTypist","Anatomical Structure",133
15,"UBERON:0001153 Caecum","Caecum","CellTypist","Anatomical Structure",131
16,"UBERON:0001156 Ascending Colon","Ascending Colon","CellTypist","Anatomical Structure",262
17,"UBERON:0001157 Transverse Colon","Transverse Colon","CellTypist","Anatomical Structure",262
18,"UBERON:0001158 Descending Colon","Descending Colon","CellTypist","Anatomical Structure",260
19,"UBERON:0001159 Sigmoid Colon","Sigmoid Colon","CellTypist","Anatomical Structure",260
20,"UBERON:0002078 Right Cardiac Atrium","Right Cardiac Atrium","CellTypist","Anatomical Structure",115
21,"UBERON:0002079 Left Cardiac Atrium","Left Cardiac Atrium","CellTypist","Anatomical Structure",116
22,"UBERON:0002080 Right Ventricle","Right Ventricle","CellTypist","Anatomical Structure",122
23,"UBERON:0002084 Left Ventricle","Left Ventricle","CellTypist","Anatomical Structure",125
24,"UBERON:0002094 Interventricular Septum","Interventricular Septum","CellTypist","Anatomical Structure",106
25,"UBERON:0002115 Jejunum","Jejunum","CellTypist","Anatomical Structure",239
26,"UBERON:0002116 Ileum","Ileum","CellTypist","Anatomical Structure",130
27,"ASCTB-TEMP:-cells-ins-","β cells (INS+)","CellTypist","Cell type",19
28,"ASCTB-TEMP:activated-cd4-t","Activated CD4 T","CellTypist","Cell type",22
29,"ASCTB-TEMP:activated-cd8-t","Activated CD8 T","CellTypist","Cell type",22
30,"ASCTB-TEMP:activated-t","Activated T","CellTypist","Cell type",22
31,"ASCTB-TEMP:adult-glia","Adult Glia","CellTypist","Cell type",22
32,"ASCTB-TEMP:angiogenic-pericyte","angiogenic pericyte","CellTypist","Cell type",22
33,"ASCTB-TEMP:arterial-capillary","arterial capillary","CellTypist","Cell type",22
34,"ASCTB-TEMP:best2-goblet-cell","BEST2+ Goblet cell","CellTypist","Cell type",22
35,"ASCTB-TEMP:best4-epithelial","BEST4+ epithelial","CellTypist","Cell type",22
36,"ASCTB-TEMP:branch-a1-imn-","Branch A1 (iMN)","CellTypist","Cell type",22
37,"ASCTB-TEMP:branch-a2-ipan-in-","Branch A2 (IPAN/IN)","CellTypist","Cell type",22
38,"ASCTB-TEMP:branch-a3-ipan-in-","Branch A3 (IPAN/IN)","CellTypist","Cell type",21
39,"ASCTB-TEMP:branch-a4-in-","Branch A4 (IN)","CellTypist","Cell type",22
40,"ASCTB-TEMP:branch-b1-emn-","Branch B1 (eMN)","CellTypist","Cell type",22
