"to","from","source_id_lab","target_id_lab","weight","weight_recs","weight_tfidf"
0,7,"UBERON:0000059 Large Intestine","UBERON:0001052 Rectum",1,25,0.760262552454249
0,8,"UBERON:0000059 Large Intestine","UBERON:0001153 Caecum",1,25,0.731119768599297
0,9,"UBERON:0000059 Large Intestine","UBERON:0001156 Ascending Colon",1,50,1.47672590506662
0,10,"UBERON:0000059 Large Intestine","UBERON:0001157 Transverse Colon",1,50,1.51214699914495
0,11,"UBERON:0000059 Large Intestine","UBERON:0001158 Descending Colon",1,50,1.48703497623768
0,12,"UBERON:0000059 Large Intestine","UBERON:0001159 Sigmoid Colon",1,50,1.54994599259095
1,2,"UBERON:0002108 Small Intestine","FMA:14926 Superior part of Duodenum",1,25,0.867077105131955
1,3,"UBERON:0002108 Small Intestine","FMA:14928 Descending part of Duodenum",1,54,1.82711111609413
1,4,"UBERON:0002108 Small Intestine","FMA:14929 Horizontal part of Duodenum",1,54,1.97840552253334
1,5,"UBERON:0002108 Small Intestine","FMA:14930 Ascending part of Duodenum",1,54,1.97840552253334
1,6,"UBERON:0002108 Small Intestine","FMA:14966 Distal part of Ileum",1,54,1.95711965195429
1,13,"UBERON:0002108 Small Intestine","UBERON:0002115 Jejunum",1,54,2.01076667106311
1,14,"UBERON:0002108 Small Intestine","UBERON:0002116 Ileum",1,27,0.9997382901346
2,15,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:b",1,1,0.00192592264126093
2,16,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:cd4-t-cell",1,1,0.0440388393821968
2,17,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:cd57-enterocyte",1,1,0.00172179259172636
2,18,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:cd66-enterocyte",1,1,0.00805869934684295
2,19,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:cd7-immune",1,1,0.000860896295863178
2,20,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:cd8-t",1,1,0.0338678377836483
2,21,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:cycling-ta",1,1,0.0904207367242687
2,22,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:dc",1,1,0.0104816342826228
